NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Theo Riddick,DEN,RB,16.00,0.00,0.00,0.00,98.00,1.00,22.00,162.00,1.00,3.80,60.00
Mike Davis,CHI,RB,16.00,0.00,0.00,0.00,224.00,2.00,15.00,102.00,0.00,3.70,59.60
Ty Johnson,DET,RB,16.00,0.00,0.00,0.00,216.00,1.00,16.00,110.00,1.00,3.70,58.60
Damien Harris,NE,RB,16.00,0.00,0.00,0.00,286.00,2.00,11.00,84.00,0.00,3.60,58.00
Darren Sproles,PHI,RB,16.00,0.00,0.00,0.00,120.00,1.00,18.00,160.00,1.00,3.60,58.00
Devontae Booker,DEN,RB,16.00,0.00,0.00,0.00,140.00,1.00,21.00,150.00,0.00,3.40,54.00
Wayne Gallman,NYG,RB,16.00,0.00,0.00,0.00,256.00,1.00,13.00,99.00,0.00,3.30,52.50
Darwin Thompson,KC,RB,16.00,0.00,0.00,0.00,253.00,1.00,12.00,92.00,0.00,3.30,52.50
Bilal Powell,NYJ,RB,16.00,0.00,0.00,0.00,205.00,1.00,12.00,101.00,0.00,3.00,48.60
Wendell Smallwood,WAS,RB,16.00,0.00,0.00,0.00,133.00,1.00,10.00,91.00,1.00,2.80,44.40
Corey Clement,PHI,RB,16.00,0.00,0.00,0.00,164.00,1.00,12.00,89.00,0.00,2.70,43.30
Raheem Mostert,SF,RB,16.00,0.00,0.00,0.00,201.00,1.00,10.00,67.00,0.00,2.70,42.80
DeAndre Washington,LV,RB,16.00,0.00,0.00,0.00,215.00,2.00,6.00,43.00,0.00,2.60,41.80
Malcolm Brown,LAR,RB,16.00,0.00,0.00,0.00,250.00,1.00,6.00,44.00,0.00,2.60,41.40
Kyle Juszczyk,SF,FB,16.00,0.00,0.00,0.00,25.00,0.00,18.00,161.00,0.00,2.30,36.60
Benny Snell Jr.,PIT,RB,16.00,0.00,0.00,0.00,172.00,1.00,8.00,63.00,0.00,2.20,35.50
Devine Ozigbo,JAX,RB,16.00,0.00,0.00,0.00,145.00,1.00,8.00,68.00,0.00,2.20,35.30
Brian Hill,ATL,RB,16.00,0.00,0.00,0.00,165.00,1.00,5.00,39.00,0.00,2.00,31.40
Jordan Scarlett,CAR,RB,16.00,0.00,0.00,0.00,156.00,1.00,5.00,41.00,0.00,1.90,30.70
C.J. Prosise,SEA,RB,16.00,0.00,0.00,0.00,102.00,0.00,10.00,85.00,0.00,1.80,28.70
Reggie Bonnafon,CAR,RB,16.00,0.00,0.00,0.00,91.00,1.00,8.00,54.00,0.00,1.80,28.50
Cullen Gillaspia,HOU,RB,16.00,0.00,0.00,0.00,105.00,1.00,6.00,58.00,0.00,1.80,28.30
Mike Boone,MIN,RB,16.00,0.00,0.00,0.00,121.00,1.00,6.00,41.00,0.00,1.80,28.20
Samaje Perine,CIN,RB,16.00,0.00,0.00,0.00,145.00,0.00,9.00,63.00,0.00,1.70,27.80
Alfred Morris,DAL,RB,16.00,0.00,0.00,0.00,160.00,1.00,3.00,28.00,0.00,1.70,27.80
Jordan Wilkins,IND,RB,16.00,0.00,0.00,0.00,157.00,1.00,5.00,29.00,0.00,1.70,27.60
Kenneth Dixon,BAL,RB,16.00,0.00,0.00,0.00,149.00,1.00,4.00,37.00,0.00,1.70,26.60
D.J. Foster,ARI,RB,16.00,0.00,0.00,0.00,56.00,0.00,11.00,97.00,0.00,1.60,26.30
Dexter Williams,GB,RB,16.00,0.00,0.00,0.00,113.00,1.00,5.00,36.00,0.00,1.60,25.90
Mark Walton,MIA,RB,16.00,0.00,0.00,0.00,156.00,1.00,3.00,28.00,0.00,1.60,25.40
Buddy Howell,HOU,RB,16.00,0.00,0.00,0.00,92.00,1.00,4.00,44.00,0.00,1.50,23.60
DeAndre Hopkins,HOU,WR,16.00,0.00,0.00,0.00,6.00,0.00,102.00,1451.00,10.00,19.10,305.70
Julio Jones,ATL,WR,16.00,0.00,0.00,0.00,9.00,0.00,103.00,1522.00,8.00,18.90,302.10
Davante Adams,GB,WR,16.00,0.00,0.00,0.00,1.00,0.00,101.00,1279.00,12.00,18.70,299.00
Michael Thomas,NO,WR,16.00,0.00,0.00,0.00,0.00,0.00,114.00,1345.00,8.00,18.40,294.50
JuJu Smith-Schuster,PIT,WR,16.00,0.00,0.00,0.00,9.00,0.00,102.00,1328.00,9.00,18.00,287.70
Tyreek Hill,KC,WR,16.00,0.00,0.00,0.00,106.00,1.00,82.00,1275.00,9.00,17.40,278.10
Odell Beckham Jr.,CLE,WR,16.00,0.00,0.00,0.00,22.00,0.00,88.00,1276.00,9.00,16.90,269.80
Antonio Brown,LV,WR,16.00,0.00,0.00,0.00,1.00,0.00,92.00,1195.00,9.00,16.50,263.60
Mike Evans,TB,WR,16.00,0.00,0.00,0.00,0.00,0.00,85.00,1350.00,7.00,16.20,260.00
Keenan Allen,LAC,WR,16.00,0.00,0.00,0.00,17.00,0.00,97.00,1239.00,6.00,16.00,256.60
Julian Edelman,NE,WR,16.00,0.00,0.00,0.00,74.00,0.00,92.00,1095.00,6.00,15.20,242.90
Amari Cooper,DAL,WR,16.00,0.00,0.00,0.00,8.00,0.00,81.00,1110.00,8.00,14.90,238.80
Adam Thielen,MIN,WR,16.00,0.00,0.00,0.00,31.00,0.00,84.00,1078.00,7.00,14.70,234.90
Stefon Diggs,MIN,WR,16.00,0.00,0.00,0.00,57.00,0.00,86.00,958.00,8.00,14.60,233.50
Brandin Cooks,LAR,WR,16.00,0.00,0.00,0.00,44.00,0.00,75.00,1137.00,6.00,14.20,227.10
Tyler Lockett,SEA,WR,16.00,0.00,0.00,0.00,62.00,0.00,63.00,1052.00,8.00,13.80,220.40
Robert Woods,LAR,WR,16.00,0.00,0.00,0.00,80.00,0.00,77.00,1048.00,5.00,13.60,217.80
